"table_name","column_name","data_type","is_nullable","column_default"
"active_emotional_profiles","id","character varying","YES",NULL
"active_emotional_profiles","user_id","uuid","YES",NULL
"active_emotional_profiles","version","character varying","YES",NULL
"active_emotional_profiles","energy_level","integer","YES",NULL
"active_emotional_profiles","social_energy","integer","YES",NULL
"active_emotional_profiles","physical_energy","integer","YES",NULL
"active_emotional_profiles","mental_energy","integer","YES",NULL
"active_emotional_profiles","openness","integer","YES",NULL
"active_emotional_profiles","vulnerability","integer","YES",NULL
"active_emotional_profiles","emotional_expression","integer","YES",NULL
"active_emotional_profiles","empathy_level","integer","YES",NULL
"active_emotional_profiles","emotional_stability","integer","YES",NULL
"active_emotional_profiles","stress_resilience","integer","YES",NULL
"active_emotional_profiles","self_control","integer","YES",NULL
"active_emotional_profiles","adaptability","integer","YES",NULL
"active_emotional_profiles","extroversion","integer","YES",NULL
"active_emotional_profiles","social_confidence","integer","YES",NULL
"active_emotional_profiles","group_orientation","integer","YES",NULL
"active_emotional_profiles","intimacy_comfort","integer","YES",NULL
"active_emotional_profiles","achievement_drive","integer","YES",NULL
"active_emotional_profiles","competitiveness","integer","YES",NULL
"active_emotional_profiles","goal_orientation","integer","YES",NULL
"active_emotional_profiles","risk_tolerance","integer","YES",NULL
"active_emotional_profiles","dominant_emotions","jsonb","YES",NULL
"active_emotional_profiles","emotional_patterns","jsonb","YES",NULL
"active_emotional_profiles","emotional_triggers","jsonb","YES",NULL
"active_emotional_profiles","emotional_needs","jsonb","YES",NULL
"active_emotional_profiles","mood_history","jsonb","YES",NULL
"active_emotional_profiles","average_mood","integer","YES",NULL
"active_emotional_profiles","mood_stability","integer","YES",NULL
"active_emotional_profiles","attachment_style","character varying","YES",NULL
"active_emotional_profiles","communication_style","character varying","YES",NULL
"active_emotional_profiles","conflict_style","character varying","YES",NULL
"active_emotional_profiles","love_language","jsonb","YES",NULL
"active_emotional_profiles","emotional_preferences","jsonb","YES",NULL
"active_emotional_profiles","deal_breakers","jsonb","YES",NULL
"active_emotional_profiles","completeness","integer","YES",NULL
"active_emotional_profiles","confidence","integer","YES",NULL
"active_emotional_profiles","data_quality","jsonb","YES",NULL
"active_emotional_profiles","created_at","timestamp with time zone","YES",NULL
"active_emotional_profiles","updated_at","timestamp with time zone","YES",NULL
